geom_x_y;genre;espece;adresse;idbase;typeemplacement;domanialite;arrondissement;complementadresse;numero;idemplacement;circonferenceencm;hauteurenm;stadedeveloppement;pepiniere;varieteoucultivar;dateplantation;remarquable;objectid;libellefrancais
48.8764740798,2.25749975507;Sequoiadendron;giganteum;ROUTE DE LA PORTE SAINT-JAMES;2002387.0;Arbre;Jardin;BOIS DE BOULOGNE;16-12;;001001001;335.0;28.0;M;Inconnue;;1850-01-01T00:09:21+00:00;1;29687;Sequoia
48.8819364512,2.39826376533;Fraxinus;excelsior;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;127998.0;Arbre;Jardin;PARIS 19E ARRDT;19-01;;00000509;385.0;24.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;36513;Frêne
48.8735408016,2.29045015635;Koelreuteria;paniculata;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;114869.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 10 - 20 à 26;;000206001 / 16-34;163.0;8.0;A;Inconnue;;1700-01-01T00:09:21+00:00;1;53585;Savonnier
48.8396441672,2.30097558498;Quercus;frainetto;SQUARE DE LA PLACE ADOLPHE CHERIOUX / 260 RUE DE VAUGIRARD;113597.0;Arbre;Jardin;PARIS 15E ARRDT;;;000106001;180.0;15.0;A;Inconnue;;1700-01-01T00:09:21+00:00;1;139434;Chêne
48.893355459,2.34682048372;Toona;sinensis;SQUARE KRIEGEL - VALRIMONT;120016.0;Arbre;Jardin;PARIS 18E ARRDT;18-08;;00000009;238.0;17.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;146295;Cedrele
48.8872385242,2.31716310443;Pterocarya;fraxinifolia;SQUARE DES BATIGNOLLES;135262.0;Arbre;Jardin;PARIS 17E ARRDT;17-07;;00000072;397.0;30.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;150833;Pterocarya
48.836425027,2.29018563176;Fagus;sylvatica;SQUARE DU CLOS FEUQUIERES;128372.0;Arbre;Jardin;PARIS 15E ARRDT;;;00000001;140.0;4.0;A;Inconnue;''Pendula'';1973-01-01T01:00:00+00:00;1;167635;Hêtre
48.866975458,2.31951521699;Sequoiadendron;giganteum;JARDINS DES CHAMPS ELYSEES - JARDIN DES AMBASSADEURS / 10 AVENUE DES CHAMPS ELYSEES;302514.0;Arbre;Jardin;PARIS 8E ARRDT;Secteur Ambassadeurs;;000103001;335.0;19.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;189422;Sequoia
48.8830293243,2.37006279721;Tilia;tomentosa;PLACE DE LA BATAILLE DE STALINGRAD;235972.0;Arbre;Alignement;PARIS 19E ARRDT;19-05;;000103001;215.0;23.0;M;Inconnue;;1945-01-01T01:00:00+00:00;1;229151;Tilleul
48.8465006206,2.25226717382;Liriodendron;tulipifera;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136321.0;Arbre;Jardin;PARIS 16E ARRDT;;;00040037;210.0;23.0;A;Inconnue;;1700-01-01T00:09:21+00:00;1;60393;Tulipier
48.8493165016,2.34518635839;Platanus;orientalis;SQUARE MICHEL-FOUCAULT / 43Q RUE DES ECOLES;132543.0;Arbre;Jardin;PARIS 5E ARRDT;;;00000002;450.0;24.0;M;Inconnue;;1700-01-01T00:09:21+00:00;1;87793;Platane
48.8334358135,2.41279793669;Juglans;nigra;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;2002367.0;Arbre;Jardin;BOIS DE VINCENNES;12-04;;12-04;585.0;26.0;A;Inconnue;;1845-01-01T00:09:21+00:00;1;184592;Noyer
